source,landmark,n,mae_ms,mean_sigma_ms,rmse_ms,PICP_50,PICP_68,PICP_80,PICP_90,PICP_95
finetune_val (single expert),p_onset,358,20.90179034185143,24.75381384481931,27.968198444596386,0.5363128491620112,0.7206703910614525,0.8212290502793296,0.9189944134078212,0.9189944134078212
finetune_val (single expert),qrs_onset,391,10.220814736602861,15.454361266797155,12.650000133804678,0.5601023017902813,0.7979539641943734,0.9002557544757033,0.9641943734015346,0.979539641943734
finetune_val (single expert),qrs_offset,391,11.611610510160245,18.371222093587033,14.335390378782137,0.5831202046035806,0.7774936061381074,0.9207161125319693,0.979539641943734,0.989769820971867
finetune_val (single expert),t_offset,391,26.36122291350304,29.505495515320916,33.67901444784897,0.4731457800511509,0.6726342710997443,0.7723785166240409,0.8644501278772379,0.9028132992327366
calibration (annotator 1),p_onset,372,29.060330298639112,24.862138984023883,34.84453268972832,0.3064516129032258,0.4838709677419355,0.6263440860215054,0.7553763440860215,0.8413978494623656
calibration (annotator 1),qrs_onset,487,20.092190282300756,15.704431183284314,29.663370292311974,0.44353182751540043,0.5913757700205339,0.6694045174537988,0.7515400410677618,0.7946611909650924
calibration (annotator 1),qrs_offset,487,20.268211286415553,18.7075542865103,25.10365859561867,0.37166324435318276,0.5564681724845996,0.6652977412731006,0.7946611909650924,0.8480492813141683
calibration (annotator 1),t_offset,487,39.34856663886037,29.929240965010937,55.6381775510984,0.4106776180698152,0.5708418891170431,0.6611909650924025,0.7392197125256673,0.7618069815195072
calibration (annotator 2),qrs_onset,404,13.376823954062887,15.58425232915595,18.609004601446237,0.556930693069307,0.7029702970297029,0.7698019801980198,0.8242574257425742,0.8663366336633663
calibration (annotator 2),qrs_offset,404,13.685776058990177,18.550661290046012,17.77600795339066,0.5445544554455446,0.7252475247524752,0.8292079207920792,0.8886138613861386,0.9306930693069307
calibration (annotator 2),t_offset,402,24.24813675761816,29.5668362100326,36.39074392064649,0.5398009950248757,0.7039800995024875,0.7835820895522388,0.8830845771144279,0.917910447761194
